word,similarity
ecclesia,-0.32071158
lex,-0.23279385
ciuitas,-0.19689296
populus,-0.14469314
christianus,-0.12337348
multitudo,-0.122616105
plebs,-0.1035857
familia,-0.08647016
princeps,-0.066015355
respublica,-0.06206034
deus,-0.049356397
stirps,-0.045451354
ciuis,-0.03489263
regnum,-0.03433789
fides,-0.022380896
natio,-0.01374318
patricius,-0.0107918335
tumultus,-0.0042332374
uulgus,0.01874264
lingua,0.019548424
rex,0.037749186
turba,0.042004023
genus,0.10008859
gens,0.108994484
imperium,0.20617408
